$\mu_{h}$,$\mu_{x}$,success_rate
1.0,1.0,0.92
1.0,1.08,0.89
1.0,1.16,0.885
1.0,1.24,0.89
1.0,1.32,0.88
1.0,1.4,0.9
1.0,1.48,0.88
1.0,1.56,0.875
1.0,1.64,0.92
1.0,1.72,0.825
1.0,1.8,0.855
1.0,1.88,0.845
1.0,1.96,0.845
1.0,2.04,0.82
1.0,2.12,0.8
1.0,2.2,0.805
1.0,2.28,0.76
1.0,2.36,0.81
1.0,2.44,0.725
1.0,2.52,0.725
1.0,2.6,0.725
1.0,2.68,0.64
1.0,2.76,0.715
1.0,2.84,0.675
1.0,2.92,0.61
1.0,3.0,0.595
1.0,3.08,0.63
1.0,3.16,0.565
1.0,3.24,0.55
1.0,3.32,0.51
1.0,3.4,0.475
1.0,3.48,0.48
1.0,3.56,0.485
1.0,3.64,0.4
1.0,3.72,0.375
1.0,3.8,0.315
1.0,3.88,0.29
1.0,3.96,0.345
1.0,4.04,0.355
1.0,4.12,0.31
1.0,4.2,0.275
1.0,4.28,0.225
1.0,4.36,0.255
1.0,4.44,0.21
1.0,4.52,0.29
1.0,4.6,0.295
1.0,4.68,0.25
1.0,4.76,0.29
1.0,4.84,0.24
1.0,4.92,0.245
1.0,5.0,0.265
1.0,5.08,0.19
1.0,5.16,0.24
1.0,5.24,0.26
1.0,5.32,0.225
1.0,5.4,0.24
1.0,5.48,0.17
1.0,5.56,0.195
1.0,5.64,0.185
1.0,5.72,0.245
1.0,5.8,0.19
1.0,5.88,0.245
1.0,5.96,0.19
1.0,6.04,0.225
1.0,6.12,0.16
1.0,6.2,0.195
1.0,6.28,0.185
1.0,6.36,0.215
1.0,6.44,0.18
1.0,6.52,0.205
1.0,6.6,0.2
1.0,6.68,0.215
1.0,6.76,0.2
1.0,6.84,0.195
1.0,6.92,0.18
1.0,7.0,0.185
1.0,7.08,0.195
1.0,7.16,0.2
1.0,7.24,0.18
1.0,7.32,0.185
1.0,7.4,0.2
1.0,7.48,0.2
1.0,7.56,0.205
1.0,7.64,0.22
1.0,7.72,0.235
1.0,7.8,0.22
1.0,7.88,0.195
1.0,7.96,0.23
1.0,8.04,0.205
1.0,8.12,0.2
1.0,8.2,0.195
1.0,8.28,0.16
1.0,8.36,0.24
1.0,8.44,0.215
1.0,8.52,0.2
1.0,8.6,0.225
1.0,8.68,0.21
1.0,8.76,0.155
1.0,8.84,0.215
1.0,8.92,0.21
1.0,9.0,0.21
1.08,1.0,0.87
1.08,1.08,0.91
1.08,1.16,0.905
1.08,1.24,0.89
1.08,1.32,0.895
1.08,1.4,0.905
1.08,1.48,0.935
1.08,1.56,0.895
1.08,1.64,0.88
1.08,1.72,0.91
1.08,1.8,0.845
1.08,1.88,0.86
1.08,1.96,0.835
1.08,2.04,0.845
1.08,2.12,0.805
1.08,2.2,0.79
